9 5285 24317
1 245 0.183891 0.00385008
0 158 0.448681 -0.0919556
0 246 0.463351 -0.0907329
1 246 0.32684 -0.01819
0 247 0.471908 -0.0907329
1 247 0.33499 -0.0173749
0 248 0.491468 -0.0907329
1 248 0.354346 -0.0151334
0 16 0.507361 -0.0907329
0 249 0.356995 -0.0882877
1 249 -0.140185 0.143785
0 250 0.514695 -0.0882877
1 250 -0.434157 -0.000869334
0 251 0.482911 -0.087065
1 251 0.34477 -0.0124844
0 252 0.519585 -0.0858424
1 252 0.17016 0.00948398
0 253 0.456016 -0.0809518
1 253 0.321543 -0.00881644
0 254 0.484133 -0.0797292
1 254 0.346726 -0.0075938
0 255 0.464574 -0.0785066
1 255 0.327655 -0.00637118
0 256 0.420564 -0.0760613
1 256 0.287109 -0.00494478
0 257 -0.205349 -0.0748387
1 257 -0.325152 -0.0075938
0 97 0.314208 -0.0748387
0 258 -0.169897 -0.0736161
1 258 0.392762 -0.232244
0 259 -0.342267 -0.0723934
1 259 -0.443733 -0.00881644
0 114 0.326433 -0.0577218
0 260 0.438901 -0.0406049
1 260 0.306873 0.0278626
0 126 -0.363049 -0.0357144
0 13 0.430344 -0.0283786
0 261 0.312985 0.00218728
1 261 0.193182 0.0694322
0 262 0.312985 0.0303078
1 262 0.193182 0.0951075
0 263 0.331323 0.0462021
1 263 0.210297 0.112224
0 145 0.448681 0.0462021
0 264 0.52692 0.0474247
1 264 0.397337 0.117115
0 265 0.491468 0.0486474
1 265 0.35944 0.118337
0 266 0.508583 0.0510926
1 266 0.377777 0.118337
0 267 0.533033 0.0510926
1 267 0.227411 -0.050386
0 268 0.333768 0.0523153
1 268 0.211519 0.118337
0 269 0.530588 0.0535379
1 269 0.401004 0.122005
0 270 -0.441288 0.0584284
1 270 0.0307379 0.0813162
0 271 0.401004 0.063319
1 271 0.22438 -0.131716
0 272 0.528143 0.0694322
1 272 0.402471 0.137655
0 157 0.107608 0.0841038
0 273 0.412007 0.0951075
1 273 0.284868 0.162352
0 274 0.160175 0.111002
1 274 -0.0502396 0.172867
0 275 0.078268 0.16113
1 275 -0.0525379 0.224707
0 276 0.317386 -0.312763
1 276 -0.200866 -0.123133
0 277 0.32032 -0.281953
1 277 0.191226 -0.202726
0 278 0.518363 -0.261413
1 278 0.287753 0.0144136
0 279 -0.34569 -0.246741
1 279 0.261351 -0.0497057
0 280 -0.00388295 -0.218865
1 280 -0.110973 -0.146974
0 212 -0.0434915 -0.196858
0 4 0.42741 -0.179252
0 281 -0.137378 -0.158711
1 281 -0.355841 -0.106715
0 282 0.428877 -0.14404
1 282 0.304428 -0.0736161
0 283 0.477287 -0.126434
1 283 0.338804 -0.0524889
0 284 0.329122 -0.111762
1 284 -0.426735 0.137092
0 285 0.365797 -0.0970906
1 285 -0.372829 -0.142084
0 286 0.499292 -0.0868205
1 286 0.362863 -0.0134625
0 287 0.295382 -0.0750832
1 287 0.396603 -0.117631
0 288 0.455283 -0.0633459
1 288 0.326188 0.0100121
0 289 0.439146 -0.0442728
1 289 0.183402 -0.0613897
0 290 0.389268 -0.0325355
1 290 -0.396316 -0.179308
0 291 0.423009 -0.00172517
1 291 0.295382 0.0672314
0 292 0.389268 0.0320196
1 292 0.325821 0.10713
0 293 0.0679992 0.0540269
1 293 -0.0708752 0.120783
0 294 0.468486 0.0731
1 294 0.33499 0.14279
0 295 0.42741 0.0877717
1 295 0.298316 0.155261
0 296 -0.446912 0.100976
1 296 0.254306 -0.171916
0 297 -0.479185 0.139122
1 297 0.185847 0.0914396
0 298 -0.457181 0.253561
1 298 -0.360808 -0.119057
0 299 0.507801 -0.288408
1 299 0.198072 -0.00148063
0 300 -0.0748849 -0.272563
1 300 -0.184322 -0.198325
0 301 0.484916 -0.260239
1 301 0.249416 -0.025322
0 302 -0.266766 -0.246154
1 302 -0.368516 -0.172209
0 303 0.50252 -0.216224
1 303 0.179123 0.0133947
0 304 0.511322 -0.191576
1 304 0.386334 -0.117631
0 305 0.370491 -0.165167
1 305 0.250785 -0.0947431
0 306 0.437386 -0.165167
1 306 0.46151 -0.282746
0 307 -0.298453 -0.161646
1 307 -0.402316 -0.0929826
0 281 -0.127696 -0.161646
0 308 0.454989 -0.161646
1 308 -0.066083 0.232727
0 309 -0.138259 -0.158125
1 309 -0.356264 -0.106293
0 310 0.45851 -0.14404
1 310 0.235646 -0.225027
0 311 0.495478 -0.14404
1 311 -0.209541 -0.00954726
0 312 -0.363587 -0.136997
1 312 -0.457662 -0.0809401
0 313 -0.201632 -0.131716
1 313 0.383889 -0.127208
0 314 0.352887 -0.117631
1 314 0.234942 -0.0524889
0 315 -0.000948978 -0.11587
1 315 -0.110093 -0.0489677
0 316 0.430344 -0.11587
1 316 0.296555 -0.0419253
0 317 0.449708 -0.11411
1 317 0.314159 -0.0401648
0 318 -0.00623014 -0.112349
1 318 -0.113613 -0.0454465
0 319 0.372252 -0.112349
1 319 -0.00241596 0.166998
0 320 0.388095 -0.110588
1 320 0.388095 -0.168688
0 281 0.477874 -0.110588
0 321 0.481395 -0.110588
1 321 0.341269 -0.0412211
0 322 -0.499136 -0.108828
1 322 -0.416399 0.139416
0 323 -0.196351 -0.108828
1 323 0.34477 -0.345041
0 324 0.354648 -0.108828
1 324 -0.131668 -0.0271926
0 325 -0.00799048 -0.107067
1 325 0.261348 -0.0225588
0 326 -0.0484792 -0.0965038
1 326 -0.156003 -0.0327702
0 327 0.36521 -0.0965038
1 327 0.254306 -0.0296012
0 328 0.514842 -0.0965038
1 328 -0.212195 -0.181012
0 329 0.359929 -0.0947431
1 329 0.248321 -0.0264321
0 330 0.425063 -0.091222
1 330 0.291274 -0.0172771
2 0 0.300287 0.0427804
0 331 0.372683 -0.324867
2 331 0.0666496 -0.0517847
2 1 0.443791 -0.0833971
2 3 -0.134444 -0.00881644
2 4 -0.296628 -0.054869
2 5 0.0803055 0.0938848
0 332 0.535681 -0.308566
2 332 -0.454532 0.0551681
2 6 -0.134648 -0.011058
0 333 0.525494 -0.303471
2 333 -0.405633 0.274223
2 14 0.333768 0.0144136
2 15 0.457454 0.17005
2 17 -0.0244207 -0.183653
2 18 0.487556 -0.0486743
2 19 -0.392057 0.282514
2 19 -0.375023 0.28008
0 334 0.487801 -0.261698
2 334 0.438901 -0.145751
0 335 0.531607 -0.258641
2 335 0.346196 0.018489
2 26 0.234135 0.235507
0 336 0.499007 -0.253547
2 336 -0.0495354 -0.108828
2 28 -0.0625623 -0.165167
2 30 -0.0329781 -0.162868
2 31 0.534663 -0.146567
2 35 -0.045203 -0.145751
2 41 -0.045203 -0.142084
0 337 0.5204 -0.217887
2 337 0.156018 0.152327
0 338 -0.312927 -0.205661
2 338 -0.263009 -0.114982
0 339 0.515307 -0.203623
2 339 0.452384 0.188811
0 340 0.510213 -0.201585
2 340 0.365552 -0.228076
0 341 0.341102 -0.198529
2 341 0.374721 -0.105812
0 342 -0.342471 -0.19751
2 342 -0.0898237 0.168262
0 343 -0.0205496 -0.19751
2 343 0.12513 0.193733
0 344 0.342121 -0.195472
2 344 0.376066 -0.105894
0 345 0.509194 -0.195472
2 345 0.532625 -0.100718
0 346 -0.0959362 -0.194453
2 346 -0.0541679 -0.105812
0 347 -0.251803 -0.193434
2 347 -0.203393 -0.103546
0 348 0.469463 -0.193434
2 348 0.433808 -0.172038
0 349 0.516325 -0.193434
2 349 0.535681 -0.0996989
0 350 -0.0368494 -0.189359
2 350 0.0100126 -0.0996989
2 53 0.353944 -0.0264321
2 54 0.361126 0.126951
0 351 0.467426 -0.187321
2 351 0.497591 -0.0665736
0 352 0.462332 -0.185283
2 352 0.519382 0.0429417
0 353 0.341102 -0.184264
2 353 -0.0581613 -0.036937
0 354 0.403246 -0.183246
2 354 0.356056 -0.22545
0 355 0.449089 -0.183246
2 355 0.446033 0.158073
0 356 0.467426 -0.181208
2 356 0.0242749 -0.0833971
0 357 0.514288 -0.180189
2 357 0.532625 -0.0854349
0 358 0.405283 -0.178151
2 358 0.449089 -0.0793217
0 1 0.412414 -0.177132
0 359 0.434826 -0.177132
2 359 0.109849 0.118337
2 56 0.47252 -0.155736
0 360 0.342121 -0.17
2 360 0.538738 -0.290226
2 58 0.153964 0.27146
0 361 0.402227 -0.168982
2 361 0.440939 -0.0732085
0 362 0.32684 -0.167963
2 362 0.368608 -0.0752462
0 6 0.492894 -0.167963
0 363 0.436864 -0.166944
2 363 0.444779 0.157374
0 364 0.0130688 -0.163887
2 364 -0.32719 -0.0141145
0 365 0.320728 -0.163887
2 365 0.447051 -0.158793
0 366 0.438901 -0.162868
2 366 -0.0713642 -0.142279
2 59 -0.0598779 -0.0424042
0 367 0.430751 -0.159812
2 367 0.5204 0.0195079
2 60 -0.422951 -0.00290706
2 62 -0.254737 -0.0618788
0 368 -0.0144371 -0.154717
2 368 0.0364998 -0.0630199
0 368 -0.00424974 -0.153699
2 63 0.507361 -0.290022
2 64 0.38389 -0.268015
0 369 0.514288 -0.15268
2 369 0.533033 -0.0858424
0 370 0.427695 -0.14351
2 370 -0.331265 -0.0711708
2 67 0.405283 -0.0467181
0 371 0.539756 -0.132303
2 371 -0.487574 0.0610342
2 70 0.359929 -0.215931
2 71 0.483155 0.0425831
2 75 -0.324134 -0.0263409
2 76 0.524475 -0.0232843
2 78 0.394892 -0.0357144
0 372 0.329896 -0.11702
2 372 0.447459 -0.132303
2 79 0.524475 0.0449795
2 84 0.486782 0.0144136
0 373 0.321746 -0.111925
2 373 -0.402576 0.405657
2 87 -0.000174789 -0.000869334
0 374 0.368608 -0.101737
2 374 0.373294 0.131007
0 375 -0.119367 -0.0956235
2 375 -0.0663928 0.0144136
0 376 -0.0511117 -0.0956235
2 376 0.297093 0.0987754
2 89 -0.259429 0.100584
2 91 -0.389993 0.0601891
2 93 0.376555 -0.0956235
2 94 0.333523 0.0161742
2 96 0.158952 0.278503
2 97 0.496969 0.0123759
0 377 -0.186604 -0.0793217
2 377 -0.119367 0.0215456
2 99 0.38242 -0.0728272
2 102 -0.293499 -0.0351026
0 378 -0.178454 -0.0721897
2 378 -0.111217 0.0296965
2 103 -0.457155 0.00627271
2 107 0.346196 0.0235833
0 379 0.32684 -0.0670954
2 379 0.481688 0.0584284
2 109 0.455341 0.186952
2 111 0.216816 0.18762
2 112 -0.0889679 0.169346
2 113 -0.492633 0.218594
2 114 0.375332 -0.077284
0 380 0.482707 -0.0589445
2 380 -0.0495353 -0.185393
0 381 -0.290515 -0.0579256
2 381 0.150444 0.137655
0 382 0.308503 -0.0579256
2 382 0.36697 -0.0806584
0 383 0.316653 -0.0569067
2 383 0.363661 -0.0733343
0 384 0.48882 -0.0569067
2 384 -0.322707 -0.0100391
0 385 -0.463701 -0.0558879
2 385 -0.453367 0.00737126
2 115 0.321201 0.111246
0 386 0.485763 -0.054869
2 386 0.0738672 0.200743
2 116 -0.226278 -0.163406
2 126 -0.301721 0.0755453
0 387 0.433808 -0.0334729
2 387 0.392447 -0.00392589
0 388 0.447051 -0.0334729
2 388 0.489023 0.0540269
0 389 0.383889 -0.025322
2 389 -0.050093 -0.116408
0 390 0.279978 -0.0232843
2 390 0.314615 0.0663755
0 391 -0.433138 -0.0222654
2 391 -0.364291 0.0939925
2 133 -0.346124 0.286672
0 392 0.102718 0.0062627
2 392 0.482707 0.163167
0 393 0.0955866 0.011357
2 393 0.484745 0.0500738
0 394 0.119018 0.011357
2 394 0.496358 0.0034099
0 395 0.356384 0.0123759
2 395 0.50604 -0.288408
2 137 -0.0907283 -0.082419
2 138 0.373294 -0.0819541
0 396 0.361477 0.0154325
2 396 -0.0332227 0.175801
0 115 0.283034 0.018489
0 397 0.285072 0.0205268
2 397 0.323988 0.111002
0 398 0.110868 0.0276588
2 398 0.129612 0.271167
0 399 0.313597 0.0296965
2 399 0.412414 0.00320611
2 141 0.381405 -0.115166
0 400 0.371665 0.0439606
2 400 -0.100234 -0.0750245
2 143 -0.254444 0.0337802
2 144 0.360459 -0.275962
0 401 0.331934 0.0459983
2 401 0.377777 0.139734
2 112 -0.144596 -0.034883
2 145 0.42362 0.134639
2 146 -0.119775 0.0554941
2 147 0.343792 0.112713
0 402 0.527532 0.048036
2 402 -0.168267 0.0582247
0 403 0.491876 0.0490549
2 403 -0.135667 -0.0487558
