13 10041 50032
0 207 0.145208 -0.214557
1 207 0.0155248 -0.22496
0 208 0.149062 -0.214557
1 208 0.0189932 -0.223804
0 209 0.163514 -0.214557
1 209 0.0363357 -0.223804
0 210 0.173148 -0.214557
1 210 0.0478973 -0.224189
0 211 0.196272 -0.214557
1 211 0.0662033 -0.223226
0 212 0.25697 -0.214557
1 212 0.13461 -0.224189
0 213 0.260824 -0.214557
1 213 0.138464 -0.225152
0 214 0.263715 -0.214557
1 214 0.141354 -0.224189
0 215 0.267569 -0.214557
1 215 0.146171 -0.224189
0 216 0.27913 -0.214557
1 216 0.155806 -0.224189
0 217 0.336938 -0.214557
1 217 0.116111 -0.226116
0 218 0.163514 -0.210705
1 218 0.0363357 -0.220336
0 219 0.248299 -0.210705
1 219 0.126902 -0.220336
0 220 0.270459 -0.210705
1 220 0.149062 -0.220336
0 221 0.277203 -0.210705
1 221 0.154843 -0.220336
0 222 0.171222 -0.209742
1 222 0.0459704 -0.219373
0 223 0.274313 -0.209742
1 223 0.151952 -0.220336
0 224 0.280094 -0.209742
1 224 0.157733 -0.219373
0 225 0.155806 -0.208778
1 225 0.0286279 -0.21841
0 226 0.347537 -0.208778
1 226 0.222285 -0.21841
0 227 0.160623 -0.206852
1 227 0.0351796 -0.216869
0 228 0.168331 -0.206852
1 228 0.0421165 -0.215521
0 229 0.344646 -0.206852
1 229 0.218432 -0.215521
0 230 0.267569 -0.205889
1 230 0.146171 -0.215713
0 231 0.250226 -0.204926
1 231 0.126902 -0.214557
0 232 0.189527 -0.203962
1 232 0.0633128 -0.213594
0 233 0.34561 -0.202999
1 233 0.220358 -0.212631
0 234 0.151952 -0.202036
1 234 0.024774 -0.21109
0 235 0.157733 -0.202036
1 235 0.0315183 -0.211668
0 236 0.199162 -0.201073
1 236 0.0729476 -0.210705
0 237 0.282984 -0.201073
1 237 0.160623 -0.210705
0 238 0.287801 -0.20011
1 238 0.165441 -0.209742
0 239 0.149062 -0.199147
1 239 0.0218836 -0.207815
0 240 0.189527 -0.199147
1 240 0.0633128 -0.208778
0 240 0.191454 -0.199147
0 241 0.340792 -0.199147
1 241 0.215541 -0.208778
0 242 0.355244 -0.199147
1 242 0.230571 -0.208778
0 243 0.169295 -0.198183
1 243 0.0440434 -0.207815
0 244 0.174112 -0.198183
1 244 0.0488608 -0.207815
0 245 0.158696 -0.19722
1 245 0.0334453 -0.206852
0 246 0.127865 -0.196257
1 246 0.000687293 -0.204926
0 246 0.132683 -0.196257
0 247 0.152916 -0.196257
1 247 0.0276645 -0.206852
0 248 0.155806 -0.196257
1 248 0.0295914 -0.205889
0 249 0.350427 -0.196257
1 249 0.226139 -0.205889
0 250 0.139427 -0.195294
1 250 0.0109001 -0.204155
0 251 0.150989 -0.195294
1 251 0.024774 -0.204155
0 252 0.18471 -0.195294
1 252 0.059459 -0.204155
0 253 0.208797 -0.195294
1 253 0.0837384 -0.205311
0 254 0.153879 -0.194331
1 254 0.0276645 -0.203962
0 255 0.240591 -0.194331
1 255 0.116304 -0.203962
0 256 0.150025 -0.193368
1 256 0.0238106 -0.202999
0 257 0.188564 -0.193368
1 257 0.0623494 -0.202999
0 258 0.151952 -0.192404
1 258 0.0257375 -0.201073
0 259 0.153879 -0.192404
1 259 0.0286279 -0.202036
0 260 0.35139 -0.192404
